order_id,sku_id,product_name,final_ak_price,units_sold,quantity,customer_id,placed_gmv,Order_Date
156546,626CF092D1,Himalaya Herbals Complete Care Toothpaste 80g,38.76,10,1,55397,387.6,2022-06-14 00:00:00
156546,61FBEBB5B7,Rex Baking Powder 100g,21.7,6,1,55397,130.2,2022-06-14 00:00:00
156546,61822F25E8,Liril Lemon & Tea Tree Oil Soap 75g,23.1,24,1,55397,554.4,2022-06-14 00:00:00
156546,A06ADE576B,Axe Signature Intense Ticket Body Deodorant 17ml,53.7,12,1,55397,644.4,2022-06-14 00:00:00
156546,619F2E47E1,Clinic Plus Strong & Long Sachet 960X6ml,712,1,1,55397,712,2022-06-14 00:00:00
156546,61FCD4F9A7,Himalaya Neem & Turmeric Soap 125g,35,18,1,55397,630,2022-06-14 00:00:00
156546,6171AA9F4A,Lux International Creamy Perfection Mega Pack 4U X 125g,240.8,6,1,55397,1444.8,2022-06-14 00:00:00
156546,92FF062E0F,Dove Anti Dandruff Solutions Dandruff Care Shampoo 180ml,146.2,6,2,55397,1754.4,2022-06-14 00:00:00
119107,607982798F,VLCC Silver Facial Kit 60g,144.75,6,1,38641,868.5,2022-05-04 00:00:00
119107,6107C36D54,VLCC Anti Tan Facial Kit 60g,157.32,6,1,38641,943.92,2022-05-04 00:00:00
140292,61DAD74DCB,Dove Shampoo Intense Repair 384U X 5.5ml + Conditioner 5.5ml,1125,5,9,10493,50625,2022-05-24 00:00:00
140292,60FEB388C4,Lakme Blush & Glow Strawberry Freshness Gel Face Wash 50g,93.15,12,1,10493,1117.8,2022-05-24 00:00:00
140292,6149D9057A,Parle Orange Bite Candy 195g,35,24,1,10493,840,2022-05-24 00:00:00
156427,6024C78138,Parachute Coconut Oil 175ml,65.63,6,1,125313,393.78,2022-06-13 00:00:00
156427,5FD1EED981,Closeup Everfresh+ Red Hot Gel Toothpaste 46g,16.9,12,1,125313,202.8,2022-06-13 00:00:00
156427,61FBF021B7,Closeup Deep Action Red Hot Gel Toothpaste 80g,49.5,2,1,125313,99,2022-06-13 00:00:00
156427,61EAF1991B,Cadbury Oreo Choco Creme Biscuits 46.3g,8.99,24,1,125313,215.76,2022-06-13 00:00:00
160484,60FEAE9632,Patanjali Saundarya Face Wash 100g,72.9,18,1,124721,1312.2,2022-06-18 00:00:00
130714,619CABCCAC,Lakme Peach Milk Light Weight Moisturiser 60ml,77.37,24,1,64307,1856.88,2022-05-12 00:00:00
130714,5F81C9FB89,Head & Shoulders Anti Dandruff Shampoo Smooth & Silky 180ml,127.6,18,1,64307,2296.8,2022-05-12 00:00:00
130714,60D96B3216,Dove Hair Fall Rescue Shampoo 80ml,58.09,24,2,64307,2788.32,2022-05-12 00:00:00
130714,5FD1EED981,Closeup Deep Action Red Hot Gel Toothpaste 48g,16.3,48,1,64307,782.4,2022-05-12 00:00:00
130714,6215FC20B7,Harpic Power Plus 10* Max Clean 250 ml,44.41,18,1,64307,799.38,2022-05-12 00:00:00
130714,60EEB3FA9B,Cherry Blossom Wax Shoe Polish 40g,59.29,18,2,64307,2134.44,2022-05-12 00:00:00
130714,619CABCCAC,Lakme Peach Milk Light Weight Moisturiser 60ml,77.37,6,1,64307,464.22,2022-05-12 00:00:00
158595,611D180F38,Parle Chatkeens Bhujia Sev 1kg,175.45,1,1,130102,175.45,2022-06-16 00:00:00
158595,5F84535C89,Parle Mazelo Assorted Toffee 198g,35,1,2,130102,70,2022-06-16 00:00:00
161916,6229BB5266,Margo Original Neem Soap 45g,8.24,36,2,107588,593.28,2022-06-20 00:00:00
138455,618E68300E,Pears Pure And Gentle Soap Bar 4U X 75g,135.1,6,1,112738,810.6,2022-05-22 00:00:00
138455,618E68300E,Pears Pure And Gentle Soap Bar 4U X 75g,135.1,18,1,112738,2431.8,2022-05-22 00:00:00
128107,619F2E47E1,Clinic Plus Strong & Long Sachet 960U X 6ml,714,1,4,63993,2856,2022-05-09 00:00:00
147256,60DECE183E,Vaseline Total Moisture Aloe Fresh Body Lotion 100ml,96.6,8,1,121291,772.8,2022-06-01 00:00:00
147256,6030D6EA89,Dabur Red Toothpaste 100g,53.4,24,1,121291,1281.6,2022-06-01 00:00:00
147256,61FBF021B7,Closeup Deep Action Red Hot Gel Toothpaste 80g,47.9,6,2,121291,574.8,2022-06-01 00:00:00
156728,60897B2934,Himalaya Purifying Neem Face Wash 150ml,121.55,12,1,46141,1458.6,2022-06-14 00:00:00
156728,60D1F1876C,Bambino Roasted Vermicelli 425g,45.1,12,1,46141,541.2,2022-06-14 00:00:00
156728,6107C8C554,Sunsilk Black Shine Shampoo 360ml,215.45,12,1,46141,2585.4,2022-06-14 00:00:00
156728,6107C6928B,Sunsilk Lusciously Thick & Long Shampoo 360ml,212.53,12,1,46141,2550.36,2022-06-14 00:00:00
156728,618E68300E,Pears Pure And Gentle Soap Bar 4U X 75g,135.1,18,1,46141,2431.8,2022-06-14 00:00:00
156728,61384ADC43,Harpic Disinfectant Toilet Cleaner 500ml,85.42,12,1,46141,1025.04,2022-06-14 00:00:00
156728,61778A649E,Wonder Fresh White Phenyl 1L,45.6,10,1,46141,456,2022-06-14 00:00:00
156728,5F8048199F,VLCC Gold Facial Kit 60g,176,6,1,46141,1056,2022-06-14 00:00:00
156728,607982798F,VLCC Silver Facial Kit 60g,159,6,1,46141,954,2022-06-14 00:00:00
145469,5F84535C89,Parle Mazelo Assorted Toffee 198g,35.5,18,1,117836,639,2022-05-30 00:00:00
145469,62722A2B8E,Parle Kismi Assorted Toffees 245.5g,36,12,1,117836,432,2022-05-30 00:00:00
145469,5F7FFEA19F,Parle 2 in 1 Eclairs Toffee 198g,36,12,1,117836,432,2022-05-30 00:00:00
145469,60C499AFA6,Parle Kacha Mango Bite Candy 198g,36,12,1,117836,432,2022-05-30 00:00:00
134130,62035966A7,Pond's Bright Beauty Spot less Fairness SPF 15 PA ++ Serum Cream 35g,109.44,6,1,28878,656.64,2022-05-17 00:00:00
147008,5F8464E689,Fem Gold Crème Bleach With Real Gold 40g,44.54,24,1,41276,1068.96,2022-06-01 00:00:00
154051,5F0841D0F2,Himalaya Gentle Baby Wipes 72U X 2 Pack,248.5,6,1,105626,1491,2022-06-10 00:00:00
154051,6166BA3464,Head & Shoulders Smooth & Silky Anti Dandruff Shampoo 340ml,226.78,12,1,105626,2721.36,2022-06-10 00:00:00
154051,6273A72E8E,Odonil Bathroom Air Freshener 192g,139.32,12,1,105626,1671.84,2022-06-10 00:00:00
154051,5F81C9FB89,Head & Shoulders Anti Dandruff Shampoo Smooth & Silky 180ml,129.37,12,1,105626,1552.44,2022-06-10 00:00:00
154051,5FBE5CBB6F,Pantene Advanced Anti Hair Fall Solution Shampoo 180ml,99.67,12,1,105626,1196.04,2022-06-10 00:00:00
154051,60DECBB645,Sensodyne Sensitive Toothpaste Fresh Mint 75g,108.9,12,1,105626,1306.8,2022-06-10 00:00:00
154051,60DECAF73E,Sensodyne Sensitive Toothpaste Fresh Gel 75g,109.45,12,1,105626,1313.4,2022-06-10 00:00:00
154051,617152E84A,Dettol Original Handwash Pump 200 ml + 1 Refill Pouch Free,85.7,12,2,105626,2056.8,2022-06-10 00:00:00
154051,6163D80E51,Lizol Disinfectant Cleaner Citrus 500ml,87.55,12,1,105626,1050.6,2022-06-10 00:00:00
154051,626BD423B5,Dove Dryness Care Shampoo 180ml,145.4,12,1,105626,1744.8,2022-06-10 00:00:00
154051,622B273866,Lakme Absolute Perfect Radiance Day Crème With Sunscreens 28g,172.8,6,1,105626,1036.8,2022-06-10 00:00:00
154051,61FCD4F9A7,Himalaya Neem & Turmeric Soap 125g,36,12,1,105626,432,2022-06-10 00:00:00
154051,61FCDFBEB7,Himalaya Cucumber & Coconut Soap 125g,36,12,1,105626,432,2022-06-10 00:00:00
154051,61FCD6E3A7,Himalaya Honey & Cream Soap 125g,36,12,1,105626,432,2022-06-10 00:00:00
154051,60DED00A45,Vaseline Healthy Bright Daily Brightening Body Lotion 100ml,96.6,8,1,105626,772.8,2022-06-10 00:00:00
154051,60B8F8A38F,Parachute Advanced Jasmine Hair Oil 300ml,108.3,12,1,105626,1299.6,2022-06-10 00:00:00
130318,61EA523B1B,Surf Excel Easy Wash Detergent Powder 3kg,311.86,6,1,64307,1871.16,2022-05-12 00:00:00
130318,62220EBA4B,Pears Pure And Gentle Soap Bar 60g,23.07,144,1,64307,3322.08,2022-05-12 00:00:00
130318,60EED7E2A2,Patanjali's Saundarya Aloe Vera Gel 150ml,76.78,24,1,64307,1842.72,2022-05-12 00:00:00
130318,60DECE183E,Vaseline Total Moisture Aloe Fresh Body Lotion 100ml,94,15,1,64307,1410,2022-05-12 00:00:00
130318,6047142963,Glow & Lovely Instant Glow With Brightening Multivitamin Facewash 100g,102.05,24,1,64307,2449.2,2022-05-12 00:00:00
130318,61EA523B1B,Surf Excel Easy Wash Detergent Powder 3kg,311.86,2,1,64307,623.72,2022-05-12 00:00:00
124217,627257858E,Dermi Cool Prickly Heat Powder Radiant Sandal 90g + Dettol Cool Menthol 75g Free (Expiring Jan 2023),50,24,1,41962,1200,2022-05-07 00:00:00
124217,6272A7408E,Dermi Cool Prickly Heat Powder Soothing Lavender 90g + Dettol Cool Menthol 75g Free (Expiring Jan 2023),50,24,1,41962,1200,2022-05-07 00:00:00
124217,6272A7408E,Dermi Cool Prickly Heat Powder Soothing Lavender 90g + Dettol Cool Menthol 75g Free (Expiring Jan 2023),50,6,1,41962,300,2022-05-07 00:00:00
124217,627257858E,Dermi Cool Prickly Heat Powder Radiant Sandal 90g + Dettol Cool Menthol 75g Free (Expiring Jan 2023),50,6,1,41962,300,2022-05-07 00:00:00
156537,61CAB911FE,Surf Excel Easy Wash Detergent Powder 1kg,118.55,15,2,40655,3556.5,2022-06-14 00:00:00
156537,60EED7E2A2,Patanjali's Saundarya Aloe Vera Gel 150ml,78.2,12,1,40655,938.4,2022-06-14 00:00:00
156537,60AE21877E,Glow & Lovely Advanced Face Cream 80g,162,6,2,40655,1944,2022-06-14 00:00:00
156537,DE9979AC39,Set Wet Styling Gel Gravity Resist 50ml,39,12,1,40655,468,2022-06-14 00:00:00
156537,A9F1441BB0,Set Wet Styling Gel Chilled Out 50ml,39,12,1,40655,468,2022-06-14 00:00:00
156537,625A56A948,Glucon-D Instant Energy Health Drink Regular Refill 200g Free 50g,47.14,6,1,40655,282.84,2022-06-14 00:00:00
136858,618F82730E,POND'S Triple Vitamin Moisturising Body Lotion 40ml,29,8,1,72033,232,2022-05-20 00:00:00
136858,618A18BCC7,Himalaya Sparkling White Toothpaste 80g,45.7,6,1,72033,274.2,2022-05-20 00:00:00
136858,618F82730E,POND'S Triple Vitamin Moisturising Body Lotion 40ml,29,3,1,72033,87,2022-05-20 00:00:00
136858,6089807319,Patanjali Saundarya Face Wash 60g,49.8,6,1,72033,298.8,2022-05-20 00:00:00
136858,6157FCBAB3,Kama Sutra Spark Deodorant 220ml,129.92,6,1,72033,779.52,2022-05-20 00:00:00
136858,5F7C88BF14,Garnier Color Naturals Crème Hair Color Shade 3.0 Brown Black 20ml+20ml,31.36,16,1,72033,501.76,2022-05-20 00:00:00
136858,5F841D0D9E,Johnson's Baby Powder 100g,70.49,6,1,72033,422.94,2022-05-20 00:00:00
136858,60378351AE,Johnson's Baby Powder 50g,36.23,6,1,72033,217.38,2022-05-20 00:00:00
144632,61F3F6A6A7,Cadbury Oreo Original Vanilla Creme  46.3g,8.83,36,1,26423,317.88,2022-05-29 00:00:00
144632,607983D886,Nycil Germ Expert Prickly Heat Powder Classic 150g + Nycil Cool Herbal 50g,99.01,10,1,26423,990.1,2022-05-29 00:00:00
144632,61FCF3DDB7,Keo Karpin Hair Oil 50ml,17.5,30,1,26423,525,2022-05-29 00:00:00
144632,60DAD6993D,Rin Detergent Powder 1kg,72,10,1,26423,720,2022-05-29 00:00:00
117994,6218F63E97,Tops Tomato Ketchup 950g,65,12,2,93889,1560,2022-05-02 00:00:00
149145,6171A5C24A,Nivea Pearl & Beauty Deodorant for Unisex 150ml,114,6,1,105586,684,2022-06-04 00:00:00
149145,603CE30BF5,Fogg Extreme Fragrance Body Spray 150ml,192.5,6,1,105586,1155,2022-06-04 00:00:00
149145,618D01C0BD,Park Avenue Beer Shampoo Hairfall Control 180ml+Good Morning Deo 40ml,101.92,6,1,105586,611.52,2022-06-04 00:00:00
149145,61AF6AFD08,Kama Sutra Deodorant Combo Offer Pack 450ml,271.95,2,1,105586,543.9,2022-06-04 00:00:00
126595,618E2F700E,Closeup Everfresh+ Triple Fresh Formula 23g,8.11,288,1,84874,2335.68,2022-05-07 00:00:00
126595,5F89AE913A,Patanjali Dant Kanti Dental Cream Natural 100g,44.29,36,1,84874,1594.44,2022-05-07 00:00:00
126595,5F89AF093A,Patanjali Natural Dant Kanti Dental Cream 200g,84.14,18,1,84874,1514.52,2022-05-07 00:00:00
126595,615706E23E,Dabur Red Paste 18g,8.21,36,1,84874,295.56,2022-05-07 00:00:00
126595,619F2E47E1,Clinic Plus Strong & Long Sachet 960U X 6ml,714,1,5,84874,3570,2022-05-07 00:00:00
126595,621A293697,Lifebuoy Stronger Germ Protection Lemon Fresh 4U X 100g,111.46,10,1,84874,1114.6,2022-05-07 00:00:00
126595,60D95E6DC0,Nihar Shanti Amla Hair Oil 75ml,16.41,36,1,84874,590.76,2022-05-07 00:00:00
126595,6047142963,Glow & Lovely Instant Glow With Brightening Multivitamin Facewash 100g,102.05,24,1,84874,2449.2,2022-05-07 00:00:00
126595,60DEC56D3E,Garnier Bright Complete Vitamin C Face Wash 50g,61.34,6,1,84874,368.04,2022-05-07 00:00:00
140089,6129E0F198,Ahaar Urad Wash 500 g,74.1,8,1,16486,592.8,2022-05-24 00:00:00
140089,612A01615C,Ahaar Kabuli Chana 500 g,62.4,8,1,16486,499.2,2022-05-24 00:00:00
140089,6129F9185C,Ahaar Washed Moong Dal 500g,69.42,16,1,16486,1110.72,2022-05-24 00:00:00
146795,10B11E3379,Malabar Coconut Hair Oil 200ml,42,24,1,28782,1008,2022-06-01 00:00:00
141701,61399B354D,Surf Excel Matic Liquid Detergent Front Load Pouch 2L,376.65,2,1,115192,753.3,2022-05-26 00:00:00
141701,6177890D90,Surf Excel Easy Wash Detergent Powder 80g,8.66,24,1,115192,207.84,2022-05-26 00:00:00
141701,E1C7CE3A62,Bambino Daily Spirali Pasta 500g,66.25,6,1,115192,397.5,2022-05-26 00:00:00
150543,5F7FFEA19F,Parle 2 in 1 Eclairs Toffee 198g,35.5,18,1,115442,639,2022-06-06 00:00:00
150543,6008342785,Parle Londonderry Candies 198g,35,24,1,115442,840,2022-06-06 00:00:00
150543,6037889FF5,Colgate Toothpaste Strong Teeth Dental Cream 18g,8.6,48,1,115442,412.8,2022-06-06 00:00:00
150543,622854DA66,Navratna Extra Thanda Ayurvedic Hair Oil 2.5ml,0.7,240,1,115442,168,2022-06-06 00:00:00
150543,615706E23E,Dabur Red Paste 18g,8.21,36,2,115442,591.12,2022-06-06 00:00:00
136060,603CE42AAE,Fogg Absolute Fragrance Body Spray 150ml,125,24,1,65433,3000,2022-05-19 00:00:00
136060,6176A67C90,Everyuth Naturals Advanced Golden Glow Peel-Off Mask 90g,82.5,18,1,65433,1485,2022-05-19 00:00:00
147182,F6DE2DC702,Lakme Sun Expert SPF 50 Ultra Matte Lotion 18ml,72.5,24,1,48108,1740,2022-06-01 00:00:00
147182,5F084710F2,Himalaya Gentle Baby Powder 100g,56.54,6,1,48108,339.24,2022-06-01 00:00:00
147182,6277DC3555,Clinic Plus Strong With Egg Protein 175ml,97,24,1,48108,2328,2022-06-01 00:00:00
147182,620F5FB0B7,"Garnier Black Naturals Crème Hair Color, 4.0 Natural Brown 70ml+60g",145.5,18,1,48108,2619,2022-06-01 00:00:00
147182,6173CC92D2,"Garnier Color Naturals Creme Hair Color, Shade 5 Light Brown 70ml + 60g",144.48,6,1,48108,866.88,2022-06-01 00:00:00
147182,5F7C88BF14,Garnier Color Naturals Crème Hair Color Shade 3.0 Brown Black 20ml+20ml,33.18,32,1,48108,1061.76,2022-06-01 00:00:00
140974,60B08F2398,Tata Tea Premium India ki Chai 500g,191.07,30,1,31697,5732.1,2022-05-25 15:24:41
140974,60686EEEF8,Dermi Cool Prickly Heat Powder 150g + Dettol Cool Menthol 125g Free,97.5,12,1,31697,1170,2022-05-25 15:24:41
140974,618E115CBD,Quaker Oats 1 kg,162.4,6,1,31697,974.4,2022-05-25 15:24:41
140974,60DEC3AD3E,Ayur Herbals Shampoo Amla Shikakai with Reetha 500ml,142.58,6,1,31697,855.48,2022-05-25 15:24:41
119667,61FBBC9AA7,Brown & Polson Vanilla Custard Powder 100g,26.7,36,1,24928,961.2,2022-05-05 13:24:27
119667,626D01B3D1,Axe Signature Gold Temptation Ticket Body Deodorant 17ml,48.95,24,1,24928,1174.8,2022-05-05 13:24:27
119667,6030975915,Closeup Everfresh + Germ Gel Red Hot Toothpaste 150g,75.42,36,1,24928,2715.12,2022-05-05 13:24:27
119667,60686EEEF8,Dermi Cool Prickly Heat Powder 150g + Dettol Cool Menthol 125g Free,92.88,24,1,24928,2229.12,2022-05-05 13:24:27
119667,60DEC56D3E,Garnier Bright Complete Vitamin C Face Wash 50g,59.15,24,1,24928,1419.6,2022-05-05 13:24:27
119667,5F89AE913A,Patanjali Dant Kanti Dental Cream Natural 100g,44.29,36,1,24928,1594.44,2022-05-05 13:24:27
119667,619F2E47E1,Clinic Plus Strong & Long Sachet 960U X 6ml,714,1,2,24928,1428,2022-05-05 13:24:27
154401,61AF6AFD08,Kama Sutra Deodorant Combo Offer Pack 450ml,271.95,2,1,13547,543.9,2022-06-11 08:58:24
154401,619F2E47E1,Clinic Plus Strong & Long Sachet 960X6ml,712,1,20,13547,14240,2022-06-11 08:58:24
154401,6163D80E51,Lizol Disinfectant Cleaner Citrus 500ml,88.58,6,1,13547,531.48,2022-06-11 08:58:24
154401,5FA93040C2,Himalaya Purifying Neem Facewash 50ml,52.5,6,1,13547,315,2022-06-11 08:58:24
154401,60EED7E2A2,Patanjali's Saundarya Aloe Vera Gel 150ml,79.63,6,1,13547,477.78,2022-06-11 08:58:24
143930,626D01B3D1,Axe Signature Gold Temptation Ticket Body Deodorant 17ml,50.73,6,1,38515,304.38,2022-05-28 18:08:50
143930,618E0F8CBD,Surf Excel Easy Wash Detergent Powder 500g,61.1,10,1,38515,611,2022-05-28 18:08:50
143930,60C6F153A6,Clinic Plus Strong & Long Health Shampoo 80ml,46.06,7,1,38515,322.42,2022-05-28 18:08:50
143930,626D0443D1,Axe Signature Mysterious Tropical Green Ticket Body Deodorant 17ml,50.73,6,1,38515,304.38,2022-05-28 18:08:50
143930,61FB9265B7,Surf Excel Bar 250g,33.45,6,1,38515,200.7,2022-05-28 18:08:50
143930,60DAD6993D,Rin Detergent Powder 1kg,72,5,2,38515,720,2022-05-28 18:08:50
143930,5FA93040C2,Himalaya Purifying Neem Facewash 50ml,51.28,6,1,38515,307.68,2022-05-28 18:08:50
157657,6273A72E8E,Odonil Bathroom Air Freshener 192g,139.32,12,1,107292,1671.84,2022-06-15 12:47:28
127432,60D95E6DC0,Nihar Shanti Amla Hair Oil 75ml,16.41,36,1,105984,590.76,2022-05-08 19:31:50
118484,619F2E47E1,Clinic Plus Strong & Long Sachet 960U X 6ml,714,1,1,99327,714,2022-05-03 18:19:57
118484,6030D6EA89,Dabur Red Toothpaste 100g,51.84,36,1,99327,1866.24,2022-05-03 18:19:57
118484,6047126063,Himalaya Purifying Neem Face Wash 100ml + Free Himalaya Toothpaste Rs. 20,95.48,24,1,99327,2291.52,2022-05-03 18:19:57
118484,60DECAF73E,Sensodyne Sensitive Toothpaste Fresh Gel 75g,107.46,24,1,99327,2579.04,2022-05-03 18:19:57
118484,6030975915,Closeup Everfresh+ Anti-Germ Gel Toothpaste 150g,75.42,36,1,99327,2715.12,2022-05-03 18:19:57
118484,79955D2550,Chakaachak Super Scrub Pad Nylon,7.5,96,1,99327,720,2022-05-03 18:19:57
118484,618E68300E,Pears Pure And Gentle Soap Bar 4U X 75g,135.1,18,1,99327,2431.8,2022-05-03 18:19:57
118484,60D6D92CC0,Margo Original Neem Soap 4U X 75g,80.5,18,1,99327,1449,2022-05-03 18:19:57
118484,6163D80E51,Lizol Disinfectant Cleaner Citrus 500ml,83.15,18,1,99327,1496.7,2022-05-03 18:19:57
118484,60E7F9B80A,Clean & Clear Morning Energy Berry Face Wash 50ml,63.52,12,1,99327,762.24,2022-05-03 18:19:57
118484,5FBE5CBB6F,Pantene Advanced Anti Hair Fall Solution Shampoo 180ml,101.45,6,1,99327,608.7,2022-05-03 18:19:57
118484,619F63F527,Keo Karpin Hair Oil 200ml,87.47,18,1,99327,1574.46,2022-05-03 18:19:57
118484,6098C055C7,Dabur Red Paste 200g,92.57,24,1,99327,2221.68,2022-05-03 18:19:57
154077,60C6F153A6,Clinic Plus Strong & Long Health Shampoo 80ml,44.9,21,1,76954,942.9,2022-06-10 17:56:16
154077,60EE93D69B,Hair & Care Aloe Vera Hair Oil 200ml,99.9,24,1,76954,2397.6,2022-06-10 17:56:16
154077,61DAD74DCB,Dove Shampoo Intense Repair 384U X 5.5ml + Conditioner 5.5ml,1344,5,3,76954,20160,2022-06-10 17:56:16
154077,60D2C3806C,Dettol Lather Shaving Cream (60gm+18gm),61.5,24,1,76954,1476,2022-06-10 17:56:16
149730,6089807319,Patanjali Saundarya Face Wash 60ml,49.8,6,1,18498,298.8,2022-06-05 11:00:00
149730,F6DE2DC702,Lakme Sun Expert SPF 50 Ultra Matte Lotion 18ml,75.24,6,1,18498,451.44,2022-06-05 11:00:00
149730,60F1319034,Pond's Bright Beauty Spotless Glow Cream 23g,70.95,12,1,18498,851.4,2022-06-05 00:00:00
149730,60D17870C5,Glow & Lovely Instant Glow With Brightening Multivitamin Facewash 50g,56.45,6,1,18498,338.7,2022-06-05 11:00:00
149730,60A3C0BE98,Odonil Bathroom Air Freshener 200g Buy 3 Get 1,125.8,6,1,18498,754.8,2022-06-05 11:00:00
149730,6163D80E51,Lizol Disinfectant Cleaner Citrus 500ml,87.55,12,1,18498,1050.6,2022-06-05 11:00:00
149730,5FA93040C2,Himalaya Purifying Neem Facewash 50ml,50.35,12,1,18498,604.2,2022-06-05 11:00:00
137814,60D17870C5,Glow & Lovely Instant Glow With Brightening Multivitamin Facewash 50g,56.45,6,1,22926,338.7,2022-05-21 19:30:41
137814,61FCD069A7,Dabur Amla Hair Oil 45ml + 25ml Free,17.4,12,1,22926,208.8,2022-05-21 19:30:41
130115,625A584F48,Glucon-D Instant Energy Health Drink Regular Refill 75g Free 50g,23.15,12,1,12601,277.8,2022-05-12 08:50:41
